"stock_id","labels"
0,0
1,2
2,2
3,0
4,0
5,2
6,2
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,2
17,0
18,2
19,2
20,0
21,0
22,2
23,0
24,0
25,0
26,0
27,0
28,2
29,0
30,0
31,1
32,0
33,2
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,2
43,0
44,0
45,0
46,2
47,0
48,0
49,0
50,2
51,2
52,0
53,0
54,0
55,0
56,2
57,0
58,0
59,2
60,2
61,2
62,2
63,0
64,2
65,0
66,0
67,2
68,0
69,2
70,1
71,0
72,0
73,0
74,2
75,0
76,0
77,0
78,1
79,2
80,1
81,2
82,1
83,0
84,0
85,1
86,1
87,2
88,0
89,2
90,0
91,2
92,1
93,2
94,2
95,0
96,2
97,2
98,0
99,0
100,1
101,1
102,2
103,2
104,0
105,0
106,0
107,2
108,2
109,0
110,0
111,2
112,0
113,0
114,2
115,2
116,0
117,0
118,2
119,2
120,0
121,0
122,0
123,0
124,2
125,2
126,0
127,2
128,0
129,1
130,0
131,0
132,0
133,0
134,2
135,2
136,0
137,0
138,2
139,0
140,0
141,0
142,0
143,2
144,0
145,0
146,2
147,2
148,0
149,0
150,2
151,0
152,0
153,1
154,0
155,2
156,2
157,0
158,1
159,0
160,0
161,2
162,2
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,2
173,2
174,1
175,0
176,2
177,1
178,0
179,0
180,1
181,0
182,0
183,0
184,2
185,0
186,0
187,0
188,2
189,0
190,0
191,0
192,0
193,0
194,2
195,0
196,0
197,2
198,0
199,2
